1,2,3
-7.8167,-6.415,15.517
4.7133,5.3525,13.704
5.6212,-10.039,25.782
-6.4609,5.8144,12.278
5.133,-10.246,48.904
12.146,-2.3657,20.596
10.256,-6.265,46.257
6.8733,-9.3791,8.2497
-9.4541,-0.33313,5.5186
-7.7658,12.474,43.887
6.0347,-1.006,28.737
11.172,6.8748,25.441
-3.4853,7.5196,39.266
-9.3762,0.38255,1.6533
6.6124,-9.5333,33.048
-4.5314,13.727,25.455
4.6666,12.979,29.778
5.9197,12.344,48.739
8.0842,-8.5325,15.247
6.0148,3.0766,14.139
-7.5397,4.6723,5.6547
12.605,0.87913,27.478
3.2097,-10.818,44.995
-4.5104,-9.5417,38.693
-8.2582,-5.6889,24.016
5.5234,4.1886,8.7777
2.6131,7.0279,24.767
-2.1611,-10.575,4.1151
-6.8707,-7.6225,19.353
-9.1743,-3.3824,28.113
12.21,-2.1258,3.4614
-5.606,-8.793,13.181
-2.3883,-10.504,31.982
-2.5931,-10.435,44.052
12.604,0.77776,6.2954
7.1111,-9.2305,43.045
-8.9984,1.9629,38.473
-7.6093,12.556,3.669
3.6558,-4.0393,4.2285
10.789,7.5668,45.684
10.735,7.6576,31.189
12.27,3.8982,1.8684
11.661,-3.7658,35.655
-9.4541,-0.33313,9.0211
10.895,-5.295,44.392
4.8288,-3.0624,15.648
5.0562,-2.7964,34.682
-8.8674,2.3284,36.763
-6.8449,5.4539,13.128
-7.4505,4.7837,11.103
-0.72091,14.17,32.951
-9.3664,-2.4438,21.216
4.369,-3.5127,22.901
2.9878,-4.3897,23.903
-8.9593,11.765,24.632
10.833,-5.3992,23.341
5.79,3.6528,41.794
2.229,-10.972,22.788
6.6124,-9.5333,30.339
-9.9242,11.071,29.341
-7.6355,12.543,10.805
-0.34754,7.8903,46.624
11.883,-3.1913,28.303
0.93433,-11.041,46.836
2.7587,-4.4833,44.785
4.993,12.829,1.1144
4.9181,12.864,4.4387
4.7968,5.2536,25.723
3.3792,-4.1992,32.054
6.108,2.7778,6.1992
11.911,5.1433,37.567
12.53,-0.38067,17.633
12.536,-0.33065,31.523
12.596,0.49944,4.8184
2.8538,-10.884,45.928
6.1663,-0.56384,5.0883
-8.4555,3.2483,21.182
-2.1818,-10.569,39.282
6.1219,-9.7988,29.446
-7.3597,4.8934,13.998
4.8323,-10.36,39.662
4.983,-10.304,49.234
7.5282,11.264,27.046
8.7061,10.229,11.473
-9.4407,-1.8276,16.939
4.4205,-10.502,34.078
0.91638,14.042,30.382
12.574,0.095931,25.257
1.7217,13.908,17.379
6.5719,-9.5563,16.311
0.38328,14.105,10.401
-1.9946,-10.624,46.042
-9.4752,-1.1927,40.116
5.4822,4.262,24.022
0.37964,-11.023,36.824
-4.4556,-9.574,3.871
-3.5996,13.933,3.7098
-6.6297,5.6614,29.552
2.1335,13.82,46.513
-7.2556,5.0149,37.823
12.575,0.1211,34.376
-0.69453,-10.91,37.757
4.6777,-3.2221,19.652
-1.7429,-10.693,21.053
-9.2517,-3.0579,41.773
-9.3677,0.43852,21.871
-9.4767,-1.0968,48.807
-5.4897,-8.8825,15.281
-7.8179,4.2992,43.657
7.7194,11.112,38.796
-5.7949,6.3463,35.95
11.985,4.9213,25.581
8.4732,10.453,4.7111
-5.2576,13.522,22.876
-5.5231,-8.8571,13.947
2.2737,-10.967,32.619
-8.6415,-4.916,9.9999
1.7768,13.897,27.97
6.2158,-0.35584,23.879
-7.6596,4.5165,25.838
-2.796,-10.361,11.242
-0.29493,14.155,28.376
-0.97559,-10.862,10.44
-0.45878,7.8987,18.809
2.2972,13.782,41.029
-8.0351,-6.0731,30.673
0.63628,14.078,4.5075
-5.1761,6.7523,24.276
4.7171,12.956,0.5244
5.8101,-9.9521,14.466
-8.6352,11.973,36.546
-6.1656,-8.3231,15.616
-8.9791,-4.0446,44.209
-0.31582,7.8877,17.845
6.7734,-9.4392,24.8
-7.1685,-7.2815,20.758
-5.2576,13.522,8.6389
-5.7826,13.347,4.2614
-0.86318,14.172,13.47
11.877,5.2417,14.774
12.598,1.4377,30.393
5.8287,3.5641,9.4519
-6.644,-7.8628,33.174
2.9874,-10.861,44.9
12.604,0.8031,42.791
-6.0036,6.1912,36.909
3.0763,-10.844,6.1034
-9.2013,1.2664,1.0923
-7.5718,-6.7655,42.842
5.9371,-1.2728,38.676
6.2272,2.293,30.589
-0.040059,14.14,32.673
11.632,-3.8339,14.817
2.296,-10.964,31.646
12.548,2.2009,41.545
-1.0625,14.172,12.166
5.7762,12.425,10.295
-9.4636,-0.48517,4.5666
-0.57877,14.166,37.543
1.938,7.3446,28.707
11.474,-4.1931,2.0875
9.2979,9.6048,12.26
-4.9686,6.8719,26.618
10.705,-5.6055,37.192
7.8234,-8.7346,21.039
9.0994,9.8231,0.42451
11.632,-3.8339,13.597
5.1998,-2.6099,33.207
10.103,8.6071,39.404
10.227,-6.3038,29.498
-1.0351,7.9166,25.123
5.8127,-1.5661,40.166
5.8959,12.358,37.821
-7.7763,4.3577,47.347
-8.6973,-4.7878,11.457
-2.8032,14.057,40.891
-2.958,7.6715,3.9764
-0.41164,-10.95,1.4523
3.5303,13.424,40.974
10.097,-6.4772,28.179
-9.1318,11.649,38.606
9.9037,-6.7229,22.086
-3.4128,-10.109,7.7271
1.1396,14.01,11.829
11.859,5.2908,35.458
3.2204,6.667,22.889
3.1328,13.553,12.513
2.6228,13.699,17.448
-2.9259,7.6795,2.9107
1.3621,13.974,28.263
12.287,3.8228,40.817
5.2207,-2.5813,12.79
8.1741,10.726,15.359
-3.9395,13.865,38.844
-4.254,7.2269,14.788
8.5367,-8.1523,46.488
-7.5286,4.6863,27.839
5.0676,12.793,21.218
-9.3664,-2.4438,33.178
0.4677,14.096,6.1288
-5.8375,13.328,10.249
2.7647,-10.899,26.836
-7.9401,4.1214,31.862
-9.4279,-1.9624,8.0556
-9.3921,0.27036,15.799
9.3705,-7.3383,6.0083
7.5496,11.247,17.324
5.2824,-10.186,34.496
-7.4257,12.649,22.953
-7.6877,12.515,29.202
-5.7104,6.4064,38.239
-10.5,10.597,20.532
6.1063,-0.78084,22.372
-1.0187,-10.854,18.122
5.5832,12.53,47.648
-0.14907,-10.981,19.98
-9.3619,0.47579,23.162
-9.5923,11.323,48.634
-3.5145,13.948,11.069
12.169,4.2995,9.0384
12.604,0.75243,31.139
-6.8683,12.913,37.494
10.969,-5.169,19.879
-7.1084,12.803,31.897
12.062,-2.6514,7.4827
-8.6253,-4.9525,27.436
-8.2186,3.6779,30.073
-0.60225,7.9071,49.611
10.451,8.1052,12.773
-1.2547,-10.807,34.761
-3.3147,-10.153,44.043
-8.0761,12.304,43.079
11.771,-3.4917,22.555
-9.1563,11.633,17.432
3.3189,13.494,25.583
10.721,7.6802,25.868
-9.4756,-1.1735,29.393
-7.4166,4.825,39.797
-1.9946,-10.624,4.2914
4.5547,-3.3432,41.737
11.953,5.0201,17.33
0.42388,-11.026,43.948
11.652,-3.7885,40.215
0.72822,7.7258,20.227
-7.7598,-6.4992,28.979
-1.3191,14.169,20.413
-6.3021,5.9513,47.945
-1.7472,14.153,30.686
-7.1421,-7.313,16.473
-9.7591,11.198,22.368
3.2127,13.528,4.6625
-0.205,7.8773,27.59
9.4391,9.4435,28.608
10.17,-6.3812,1.9684
-7.3493,-7.0586,7.8215
12.507,-0.58035,33.031
-5.2576,13.522,0.9762
-5.6679,6.4361,0.97413
9.5946,9.2595,14.222
3.8424,-3.9184,10.145
-3.8172,7.4039,34.737
1.251,13.992,15.751
1.1118,14.014,7.8383
-2.9259,7.6795,10.797
-5.1742,13.548,34.87
2.101,-4.6844,21.649
-6.3833,13.119,5.9232
6.278,2.0167,18.119
5.8278,-1.5328,28.124
4.5464,-3.3511,26.876
5.8959,12.358,27.344
0.52393,14.09,32.027
3.2948,6.6171,24.806
6.2417,-0.23221,31.143
-9.4769,-0.90514,8.0723
3.2628,-4.26,41.605
3.6652,-4.0334,44.832
3.365,-10.785,48.235
6.3077,0.16918,4.4354
3.9748,13.263,23.464
0.94433,14.038,42.673
10.573,-5.8089,33.613
7.1308,-9.2178,22.758
11.135,-4.8711,17.049
-0.43677,14.161,8.7584
10.999,7.2002,42.07
2.7846,13.655,45.599
6.2502,12.148,34.359
3.0767,-4.3499,5.5667
9.9188,-6.7042,36.559
3.863,6.1894,32.325
3.9799,-3.8222,12.314
9.4835,-7.2149,7.5297
2.2333,-4.6517,46.151
9.3379,-7.3733,25.242
11.553,6.0682,47.506
3.0527,13.577,48.672
-6.7948,5.5035,11.49
3.2392,13.519,15.73
-9.5684,11.341,12.85
6.4824,12.003,23.99
-5.9898,6.2017,47.875
12.551,2.1755,19.786
-2.1184,14.128,1.7528
5.2611,-10.194,19.119
-2.7489,7.7213,19.707
1.6658,7.45,48.318
11.94,-3.0281,27.642
6.3016,1.8586,44.55
-0.047304,7.8599,43.456
-3.6437,7.4663,7.1645
-5.6679,6.4361,28.842
-6.7157,-7.7884,39.39
-2.0861,7.8412,11.321
-9.5203,11.376,22.273
2.8187,-4.46,23.934
4.94,-10.321,40.195
12.155,4.3495,9.8305
8.1741,10.726,23.034
4.7027,-10.407,37.208
12.444,3.0141,6.1703
-7.5718,-6.7655,46.73
2.5192,7.077,38.389
-9.1392,-3.5156,43.433
3.0096,-10.857,16.991
12.513,-0.53049,10.239
-6.9193,5.3787,4.3623
5.64,-1.9141,47.613
10.038,-6.5534,47.592
4.7892,-10.376,16.196
8.0314,10.851,4.4332
9.5314,-7.1615,37.022
2.5461,7.0631,3.1177
9.2979,9.6048,48.264
-1.1476,-10.829,13.968
-2.5114,-10.463,16.982
-1.0187,-10.854,13.283
7.0483,11.622,40.323
-9.424,0.0073315,45.55
3.5612,-4.0965,15.898
7.2092,-9.1668,19.511
-3.2555,-10.178,22.919
12.444,3.0141,39.879
-1.848,-10.665,9.5523
3.5613,6.4273,14.371
-0.12713,-10.983,44.149
-9.2763,-2.9431,15.659
2.3407,-10.959,20.264
4.5547,-3.3432,45.631
-2.6542,-10.413,23.518
-0.21483,-10.974,31.845
12.166,-2.2939,29.455
-0.29493,14.155,41.207
-3.4293,13.963,42.172
-3.0543,7.6466,11.592
12.024,4.7975,41.053
-5.4387,6.5894,44.006
9.4029,-7.3033,31.972
-8.8807,-4.3252,17.738
-9.4299,-0.049244,18.38
2.3517,13.769,14.848
-0.88931,-10.878,32.612
12.033,-2.746,45.09
10.666,7.7704,23.156
0.18596,14.123,26.236
12.427,3.1155,49.527
12.315,3.6968,10.004
-3.5996,13.933,41.884
-8.3536,-5.5116,30.748
9.9111,8.863,17.537
-9.1688,1.393,33.198
-1.3401,-10.789,48.134
12.315,-1.6898,9.7219
2.573,7.0491,8.8529
-6.7725,-7.7284,12.676
3.7925,13.331,39.22
3.714,6.3101,29.347
-0.95404,-10.866,41.63
-8.3827,12.127,32.667
-9.3135,0.75397,19.589
3.6967,-10.708,45.9
1.3898,13.969,10.545
-2.1403,-10.582,48.098
-5.1742,13.548,4.7526
-2.6745,-10.406,7.8777
-7.5727,4.6301,10.313
5.8341,3.5514,29.556
8.4476,-8.2303,38.407
4.3801,5.7144,1.5424
4.1584,-10.582,31.109
-5.3517,6.6449,1.2498
-3.2358,-10.186,29.443
-4.3084,-9.6587,10.966
-5.1908,6.7436,12.96
12.572,1.921,19.992
-9.2803,-2.9239,45.353
-2.6037,7.7524,32.002
-8.846,-4.4183,9.4651
-3.9896,7.3375,23.243
-6.3288,5.9288,38.28
-8.6973,-4.7878,9.8392
5.9673,12.317,4.7642
-5.6537,6.4459,16.134
3.6879,13.369,41.505
5.1831,4.7404,25.26
10.999,7.2002,12.423
4.9745,-2.8959,34.222
7.5002,-8.9694,40.143
-0.34612,-10.959,3.7046
2.2537,-4.6463,26.872
8.5011,-8.1836,32.995
5.9218,3.3343,33.431
9.0994,9.8231,47.719
3.9748,13.263,33.129
4.0252,-3.789,30.36
5.4186,4.3712,15.859
-8.9665,-4.0821,11.582
-7.3203,12.702,17.138
4.6851,5.3853,7.7205
-8.5502,-5.1162,27.258
1.0839,14.018,45.582
7.6136,11.197,19.448
3.4657,-4.1515,6.9198
8.4476,-8.2303,17.249
3.8517,6.1988,43.908
10.92,-5.2531,17.032
3.3454,13.485,0.11103
6.8334,-9.4033,7.1595
12.464,2.8872,40.422
3.5375,6.445,18.55
4.893,12.876,46.05
-8.3354,3.473,15.818
9.5314,-7.1615,40.334
-9.4603,-0.42811,22.901
3.0175,-4.3766,32.293
-5.7551,13.357,47.513
2.6131,7.0279,8.3271
0.62111,7.7491,36.827
5.0178,4.9721,0.97058
-6.8707,-7.6225,9.5415
4.1584,-10.582,33.322
12.48,-0.77938,6.4662
9.3512,9.5445,28.762
3.4776,6.4889,9.1193
2.6228,13.699,13.035
-6.9807,5.3153,20.687
-8.7586,-4.6405,41.728
8.6251,-8.0733,26.832
-1.8593,7.8693,26.731
-9.016,-3.9317,47.333
10.833,-5.3992,25.015
-9.4737,-0.73303,24.759
12.533,-0.35566,22.459
11.238,-4.6768,3.8506
12.367,3.4445,45.866
-6.4646,13.086,17.278
-7.1615,12.778,20.956
-5.6395,6.4557,26.622
9.642,-7.0356,30.427
-5.3685,13.487,46.981
2.7307,13.67,2.0432
7.8422,-8.7204,44.313
4.1146,-10.595,20.152
11.859,5.2908,37.376
8.176,-8.4584,19.748
-5.809,6.3362,30.956
-2.2326,14.119,38.094
8.8014,10.133,27.697
5.0193,-2.8419,12.649
1.6658,7.45,31.4
1.715,-11.017,25.935
4.6851,5.3853,18.085
5.8242,12.398,33.633
2.6768,13.685,18.517
6.2134,2.3587,42.944
11.689,-3.6976,43.572
-9.7591,11.198,40.023
-0.89164,14.172,24.147
5.558,-10.068,21.454
6.2822,1.9903,43.129
0.63628,14.078,11.449
-8.0095,4.0161,35.482
-8.7957,-4.5481,35.786
5.5503,4.1395,27.313
11.726,-3.6063,43.21
10.666,7.7704,22.997
12.152,-2.3418,9.7222
12.596,0.49944,49.094
9.6287,9.2183,9.3827
-6.5714,-7.9366,13.926
5.5699,-2.0407,16.796
-9.0773,1.7154,2.4456
6.2299,2.2799,32.65
12.208,4.1493,2.6486
7.334,11.413,29.918
-8.7998,2.4998,49.204
9.9188,-6.7042,13.362
-1.276,-10.803,30.711
-1.6488,7.8896,38.12
5.8815,-1.4093,13.743
2.2841,-4.6381,26.525
-9.424,11.445,42.835
5.5369,-10.077,22.737
-3.6462,-10.002,16.306
0.29877,14.113,46.378
-4.0677,7.306,43.538
-8.6699,2.8038,17.943
10.999,7.2002,4.5859
-1.848,-10.665,10.329
11.504,-4.1262,40.629
3.1875,-10.822,39.519
-8.5052,3.1508,35.337
-8.9977,-3.9882,26.361
10.789,7.5668,15.886
9.5604,9.3006,49.803
11.024,7.154,34.331
5.8936,-9.9122,29.364
1.8491,-11.008,20.641
-9.4594,-1.5773,29.513
0.46815,-11.028,21.652
-3.7697,13.9,3.5941
11.545,-4.0367,2.7617
5.9119,3.36,22.552
5.1668,12.744,41.253
-1.6796,-10.709,1.8816
-2.2611,14.116,9.7279
10.6,-5.7684,10.193
0.31332,-11.02,28.314
3.6305,-10.724,6.6711
11.944,5.0448,32.233
-8.7071,2.7199,15.773
-9.426,-0.011519,21.609
4.2845,13.141,36.022
2.4244,7.1248,6.767
-9.5203,11.376,26.673
5.9549,-1.2269,45.863
-3.7384,7.4328,1.6388
-9.0826,11.683,22.802
5.5437,4.1518,22.018
-6.907,5.3913,3.0155
11.654,5.827,46.681
-9.3316,-2.6553,19.769
6.3269,1.648,23.982
0.093958,7.8414,41.403
11.605,5.9478,7.3053
